Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
TON,USD,Chainlink Infrequent,ChainlinkInfrequent_TON/USD,0x9be83e996fe6d00c93bc31b41241efba31a2bbff,0xb76d91340F5CE3577f0a056D29f6e3Eb4E88B140,0x0000000000000000000000000000000000000348,Yes
USD₮,USD,Chainlink Infrequent,ChainlinkInfrequent_USD₮/USD,0xe7bfe27d5e9525d3b25beec82cf5bd2d66e52415,0xAF988C3f7CB2AceAbB15f96b19388a259b6C438f,0x0000000000000000000000000000000000000348,Yes
WETH,USD,Chainlink Infrequent,ChainlinkInfrequent_WETH/USD,0x7334c4402c3eeecdda1f4bda78b3ebbf460ede1d,0x61D66bC21fED820938021B06e9b2291f3FB91945,0x0000000000000000000000000000000000000348,Yes
BTC,USD,Chainlink Infrequent,ChainlinkInfrequent_BTC/USD,0x89a0cb8f9549f9c390c3931bfb33c26515a3b84d,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,Yes
tsTON,TON,Chainlink Infrequent,ChainlinkInfrequent_tsTON/TON,0x3b8753b5065d7522cd6e514d2341ca73246c26a0,0xD44F691aeD69fe43180B95b6F82f89c18Fb93094,0xb76d91340F5CE3577f0a056D29f6e3Eb4E88B140,Yes
tsTON,USD,Cross,Cross_tsTON/USD,0x17d1baa41d790edb4eb4e91612575ab0c2632d45,0xD44F691aeD69fe43180B95b6F82f89c18Fb93094,0x0000000000000000000000000000000000000348,Yes
LBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_LBTC/USD,0x16666835b2184212c54948210197c56913e42c71,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0x0000000000000000000000000000000000000348,Yes
cbBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_cbBTC/USD,0x5777bab47b2705c8576abc4995589157e59384a1,0x7048c9e4aBD0cf0219E95a17A8C6908dfC4f0Ee4,0x0000000000000000000000000000000000000348,Yes
wstETH,WETH,Chainlink Infrequent,ChainlinkInfrequent_wstETH/WETH,0x87f6cc8e53cd0b38e4d52524e3c1e8711f0da046,0xAf368c91793CB22739386DFCbBb2F1A9e4bCBeBf,0x61D66bC21fED820938021B06e9b2291f3FB91945,Yes
wstETH,USD,Cross,Cross_wstETH/USD,0x63bd3d67a6bf1496d9586c50c3d5bff56c66b29d,0xAf368c91793CB22739386DFCbBb2F1A9e4bCBeBf,0x0000000000000000000000000000000000000348,Yes
rsETH,WETH,Chainlink Infrequent,ChainlinkInfrequent_rsETH/WETH,0xd76b80e773290efae3f68c2f324c3eff4790ac6f,0x9eCaf80c1303CCA8791aFBc0AD405c8a35e8d9f1,0x61D66bC21fED820938021B06e9b2291f3FB91945,Yes
rsETH,USD,Cross,Cross_rsETH/USD,0x96c69c68b556f7856ce4d57efa138ff8ba31eaf4,0x9eCaf80c1303CCA8791aFBc0AD405c8a35e8d9f1,0x0000000000000000000000000000000000000348,Yes
